Date,Time,Sender_account,Receiver_account,Amount,Payment_currency,Received_currency,Sender_bank_location,Receiver_bank_location,Payment_type,Is_laundering,Laundering_type
2023-05-17,09:26,ACC553814,ACC976587,8139.88,EUR,MXN,Turkey,Turkey,Cash,1,Suspicious_CrossBorder_Transfer
2023-12-14,11:21,ACC737475,ACC113869,8130.11,MXN,MAD,Morocco,Morocco,Credit Card,0,Normal_Personal_Transfer
2023-09-25,20:30,ACC996881,ACC559410,5873.32,MAD,USD,UK,Mexico,Cheque,1,Suspicious_RapidMovement
2023-08-07,08:09,ACC651972,ACC686455,7608.87,EUR,GBP,Germany,Germany,Cheque,1,Suspicious_CrossBorder_Transfer
2023-02-26,20:52,ACC692879,ACC811507,1826.99,CNY,GBP,Germany,UK,Debit Card,0,Normal_Corporate_Payment
2023-02-26,02:06,ACC481965,ACC343758,1704.16,TRY,MXN,Turkey,UAE,Cross-Border,1,Suspicious_Structuring
2023-01-22,18:38,ACC833082,ACC767482,8629.37,GBP,AED,UK,Morocco,E-Wallet,0,Normal_Corporate_Payment
2023-11-13,20:20,ACC364826,ACC274899,4986.5,USD,GBP,China,UAE,Cheque,1,Suspicious_RapidMovement
2023-08-08,04:21,ACC211186,ACC768695,2466.91,CNY,CNY,USA,Turkey,Debit Card,0,Normal_Personal_Transfer
2023-09-16,10:19,ACC867469,ACC351536,6890.42,GBP,MXN,USA,USA,Mobile Payment,0,Normal_Corporate_Payment
2023-01-08,03:58,ACC646120,ACC950008,8919.83,CNY,USD,Germany,Germany,E-Wallet,0,Normal_Personal_Transfer
2023-12-21,16:57,ACC641285,ACC645965,6326.9,USD,USD,UAE,USA,Cash,1,Suspicious_Cash_Intensive
2023-10-31,12:50,ACC396784,ACC521439,3479.98,EUR,MXN,Germany,China,Cheque,1,Suspicious_Cash_Intensive
2023-03-19,15:14,ACC570098,ACC523030,4837.55,GBP,EUR,China,UAE,ACH Transfer,0,Normal_Personal_Transfer
2023-03-08,04:42,ACC140491,ACC225662,7525.17,CNY,EUR,Germany,Mexico,Mobile Payment,0,Normal_Personal_Transfer
2023-03-08,05:04,ACC163043,ACC576827,684.34,GBP,USD,USA,Turkey,Credit Card,0,Normal_Personal_Transfer
2023-04-22,00:59,ACC998607,ACC536401,2179.47,GBP,TRY,UAE,UAE,Mobile Payment,0,Normal_Corporate_Payment
